title,vote_average
Toy Story,7.7
Jumanji,6.9
Grumpier Old Men,6.5
Waiting to Exhale,6.1
Father of the Bride Part II,5.7
Heat,7.7
Sabrina,6.2
Tom and Huck,5.4
Sudden Death,5.5
GoldenEye,6.6
The American President,6.5
Dracula: Dead and Loving It,5.7
Balto,7.1
Nixon,7.1
Cutthroat Island,5.7
Casino,7.8
Sense and Sensibility,7.2
Four Rooms,6.5
Ace Ventura: When Nature Calls,6.1
Money Train,5.4
Get Shorty,6.4
Copycat,6.5
Assassins,6.0
Powder,6.3
Leaving Las Vegas,7.1
Othello,7.0
Now and Then,6.6
Persuasion,7.4
The City of Lost Children,7.6
Shanghai Triad,6.5
Dangerous Minds,6.4
Twelve Monkeys,7.4
Wings of Courage,6.8
Babe,6.0
Carrington,6.4
Dead Man Walking,7.3
Across the Sea of Time,3.5
It Takes Two,6.1
Clueless,6.9
"Cry, the Beloved Country",6.7
Richard III,6.9
Dead Presidents,6.6
Restoration,6.3
Mortal Kombat,5.4
To Die For,6.7
How To Make An American Quilt,6.5
Se7en,8.1
Pocahontas,6.7
When Night Is Falling,5.9
The Usual Suspects,8.1
Guardian Angel,6.3
Mighty Aphrodite,6.7
Lamerica,7.7
The Big Green,5.2
Georgia,6.1
Home for the Holidays,6.3
The Postman,7.6
The Confessional,6.5
The Indian in the Cupboard,5.9
Eye for an Eye,5.8
Mr. Holland's Opus,6.9
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,6.2
Two If by Sea,4.5
Bio-Dome,4.4
Lawnmower Man 2: Beyond Cyberspace,2.8
Two Bits,5.4
French Twist,6.0
Friday,7.0
From Dusk Till Dawn,6.9
Fair Game,4.1
Kicking and Screaming,7.0
Les Miserables,6.6
Bed of Roses,5.1
Big Bully,3.9
Screamers,6.1
Nico Icon,7.3
The Crossing Guard,6.1
The Juror,5.5
The White Balloon,7.5
Things to Do in Denver When You're Dead,6.7
Antonia's Line,7.2
Once Upon a Time... When We Were Colored,4.5
Angels and Insects,6.3
White Squall,6.3
Dunston Checks In,5.1
Black Sheep,6.0
Nick of Time,6.1
The Journey of August King,6.7
Mary Reilly,5.7
Vampire in Brooklyn,4.5
Beautiful Girls,6.6
Broken Arrow,5.7
A Midwinter's Tale,7.5
La Haine,7.9
Shopping,5.6
Heidi Fleiss: Hollywood Madam,6.8
City Hall,6.0
Bottle Rocket,6.8
Mr. Wrong,3.3
Unforgettable,5.3
Happy Gilmore,6.5
The Bridges of Madison County,7.3
Nobody Loves Me,5.1
Muppet Treasure Island,6.5
Catwalk,7.0
Headless Body in Topless Bar,0.0
Braveheart,7.7
Taxi Driver,8.1
Rumble in the Bronx,6.5
Before and After,5.8
