genero_principal,title,vote_average
Animation,Toy Story,7.7
Adventure,Jumanji,6.9
Romance,Grumpier Old Men,6.5
Comedy,Waiting to Exhale,6.1
Comedy,Father of the Bride Part II,5.7
Action,Heat,7.7
Comedy,Sabrina,6.2
Action,Tom and Huck,5.4
Action,Sudden Death,5.5
Adventure,GoldenEye,6.6
Comedy,The American President,6.5
Comedy,Dracula: Dead and Loving It,5.7
Family,Balto,7.1
History,Nixon,7.1
Action,Cutthroat Island,5.7
Drama,Casino,7.8
Drama,Sense and Sensibility,7.2
Crime,Four Rooms,6.5
Crime,Ace Ventura: When Nature Calls,6.1
Action,Money Train,5.4
Comedy,Get Shorty,6.4
Drama,Copycat,6.5
Action,Assassins,6.0
Drama,Powder,6.3
Drama,Leaving Las Vegas,7.1
Drama,Othello,7.0
Comedy,Now and Then,6.6
Drama,Persuasion,7.4
Fantasy,The City of Lost Children,7.6
Drama,Shanghai Triad,6.5
Drama,Dangerous Minds,6.4
Science Fiction,Twelve Monkeys,7.4
Romance,Wings of Courage,6.8
Fantasy,Babe,6.0
History,Carrington,6.4
Drama,Dead Man Walking,7.3
Adventure,Across the Sea of Time,3.5
Comedy,It Takes Two,6.1
Comedy,Clueless,6.9
Drama,"Cry, the Beloved Country",6.7
Drama,Richard III,6.9
Action,Dead Presidents,6.6
Drama,Restoration,6.3
Action,Mortal Kombat,5.4
Fantasy,To Die For,6.7
Drama,How To Make An American Quilt,6.5
Crime,Se7en,8.1
Adventure,Pocahontas,6.7
Drama,When Night Is Falling,5.9
Drama,The Usual Suspects,8.1
Action,Guardian Angel,6.3
Comedy,Mighty Aphrodite,6.7
Drama,Lamerica,7.7
Action,The Big Green,5.2
Drama,Georgia,6.1
Comedy,Home for the Holidays,6.3
Comedy,The Postman,7.6
Thriller,The Confessional,6.5
Adventure,The Indian in the Cupboard,5.9
Drama,Eye for an Eye,5.8
Music,Mr. Holland's Opus,6.9
Comedy,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,6.2
Comedy,Two If by Sea,4.5
Comedy,Bio-Dome,4.4
Action,Lawnmower Man 2: Beyond Cyberspace,2.8
Drama,Two Bits,5.4
Comedy,French Twist,6.0
Comedy,Friday,7.0
Horror,From Dusk Till Dawn,6.9
Action,Fair Game,4.1
Comedy,Kicking and Screaming,7.0
Drama,Les Miserables,6.6
Drama,Bed of Roses,5.1
Comedy,Big Bully,3.9
Horror,Screamers,6.1
Documentary,Nico Icon,7.3
Drama,The Crossing Guard,6.1
Drama,The Juror,5.5
Family,The White Balloon,7.5
Drama,Things to Do in Denver When You're Dead,6.7
Drama,Antonia's Line,7.2
Romance,Once Upon a Time... When We Were Colored,4.5
Drama,Angels and Insects,6.3
Action,White Squall,6.3
Adventure,Dunston Checks In,5.1
Comedy,Black Sheep,6.0
Crime,Nick of Time,6.1
Drama,The Journey of August King,6.7
Drama,Mary Reilly,5.7
Comedy,Vampire in Brooklyn,4.5
Comedy,Beautiful Girls,6.6
Action,Broken Arrow,5.7
Comedy,A Midwinter's Tale,7.5
Drama,La Haine,7.9
Action,Shopping,5.6
Documentary,Heidi Fleiss: Hollywood Madam,6.8
Drama,City Hall,6.0
Comedy,Bottle Rocket,6.8
Comedy,Mr. Wrong,3.3
Drama,Unforgettable,5.3
Comedy,Happy Gilmore,6.5
Drama,The Bridges of Madison County,7.3
Drama,Nobody Loves Me,5.1
Action,Muppet Treasure Island,6.5
Documentary,Catwalk,7.0
Crime,Headless Body in Topless Bar,0.0
Action,Braveheart,7.7
Crime,Taxi Driver,8.1
Crime,Rumble in the Bronx,6.5
Drama,Before and After,5.8
Drama,Margaret's Museum,7.5
Comedy,Happiness Is in the Field,7.0
Documentary,Anne Frank Remembered,7.3
Comedy,The Young Poisoner's Handbook,6.9
Comedy,If Lucy Fell,5.4
Comedy,Steal Big Steal Little,5.1
Action,Race the Sun,5.2
Drama,The Boys of St. Vincent,7.0
Comedy,Boomerang,5.4
Drama,Chungking Express,7.9
Drama,The Star Maker,6.8
Comedy,Flirting with Disaster,6.3
Fantasy,The Neverending Story III: Escape from Fantasia,4.4
Drama,The Silences of the Palace,4.3
Comedy,Pie in the Sky,7.0
Comedy,Angela,5.6
Drama,Frankie Starlight,5.4
Action,Jade,5.1
Comedy,Nueba Yol,5.5
Music,Sonic Outlaws,0.0
Comedy,Down Periscope,5.6
Documentary,From the Journals of Jean Seberg,6.5
Comedy,Man of the Year,3.8
Drama,The Neon Bible,7.2
Drama,Up Close & Personal,5.9
Comedy,The Birdcage,6.7
Drama,Virgin Mary,7.0
Comedy,The Brothers McMullen,6.3
Action,Bad Boys,6.5
Action,The Amazing Panda Adventure,5.0
Drama,The Basketball Diaries,7.2
Romance,An Awfully Big Adventure,6.0
Crime,Amateur,6.5
Drama,Apollo 13,7.3
Adventure,Rob Roy,6.5
Drama,The Addiction,6.4
Action,Batman Forever,5.2
Drama,Belle de Jour,7.3
Drama,Beyond Rangoon,6.4
Comedy,Blue in the Face,6.8
Action,Canadian Bacon,5.9
Fantasy,Casper,6.0
Mystery,Clockers,6.8
Action,Congo,5.0
Action,Crimson Tide,7.0
Documentary,Crumb,7.6
Thriller,Desperado,6.8
Drama,Devil in a Blue Dress,6.3
Action,Die Hard: With a Vengeance,6.9
Action,The Doom Generation,5.6
Drama,Feast of July,0.0
Action,First Knight,5.9
Adventure,Free Willy 2 - The Adventure Home,5.5
Action,Hackers,6.2
Comedy,Jeffrey,6.5
Adventure,Johnny Mnemonic,5.5
Science Fiction,Judge Dredd,5.4
Comedy,Jury Duty,4.0
Drama,Kids,6.8
Drama,Living in Oblivion,7.2
Mystery,Lord of Illusions,5.9
Comedy,Love & Human Remains,7.0
Drama,Mad Love,5.5
Romance,Mallrats,6.8
Action,Mighty Morphin Power Rangers: The Movie,5.2
Comedy,Moonlight and Valentino,5.6
Thriller,Mute Witness,6.4
Horror,Nadja,5.9
Crime,The Net,5.6
Comedy,Nine Months,5.5
Comedy,Party Girl,5.8
Fantasy,The Prophecy,6.4
Fantasy,Reckless,10.0
Drama,Safe,7.2
Drama,The Scarlet Letter,5.5
Documentary,The Show,5.3
Drama,Showgirls,4.9
Comedy,Smoke,7.2
Comedy,Something to Talk About,5.7
Science Fiction,Species,5.5
Drama,The Stars Fell on Henrietta,6.6
Crime,Strange Days,6.8
Drama,The Umbrellas of Cherbourg,7.6
Thriller,The Tie That Binds,4.6
Drama,Three Wishes,6.1
Drama,Total Eclipse,6.5
Comedy,"To Wong Foo, Thanks for Everything! Julie Newmar",6.3
Action,Under Siege 2: Dark Territory,5.6
Comedy,Unstrung Heroes,6.4
Documentary,Unzipped,6.0
Drama,A Walk in the Clouds,6.5
Adventure,Waterworld,5.9
Drama,White Man's Burden,5.1
Action,Wild Bill,5.9
Drama,The Browning Version,6.0
Adventure,Bushwhacked,4.9
Drama,Burnt by the Sun,6.7
Drama,Before the Rain,7.7
Drama,Before Sunrise,7.7
Comedy,Billy Madison,6.2
Drama,The Babysitter,4.7
Comedy,Boys on the Side,6.3
Drama,The Cure,7.2
Thriller,Castle Freak,5.8
Drama,Circle of Friends,6.5
Comedy,Clerks,7.4
Romance,Don Juan DeMarco,6.3
Drama,Disclosure,5.9
Thriller,Dream Man,2.5
Action,Drop Zone,5.1
Crime,Destiny Turns on the Radio,5.3
Drama,Death and the Maiden,7.1
Crime,Dolores Claiborne,7.1
Comedy,Dumb and Dumber,6.5
Comedy,Eat Drink Man Woman,7.5
Drama,Exotica,6.5
Thriller,Exit to Eden,4.3
Comedy,Ed Wood,7.3
Comedy,French Kiss,6.2
Comedy,Forget Paris,6.1
Action,Far from Home: The Adventures of Yellow Dog,5.6
Romance,A Goofy Movie,6.7
Drama,Hideaway,5.0
Drama,Fluke,6.6
History,Farinelli,5.9
Drama,Gordy,3.0
Fantasy,Gumby: The Movie,5.0
Drama,The Glass Shield,5.4
Documentary,Hoop Dreams,7.7
Drama,Heavenly Creatures,6.9
Comedy,Houseguest,6.0
Drama,Immortal Beloved,6.9
Comedy,Heavyweights,6.0
Action,The Hunted,6.0
Comedy,I.Q.,5.9
Horror,Interview with the Vampire,7.2
Drama,Jefferson in Paris,5.2
Comedy,The Jerky Boys,4.8
Comedy,Junior,4.7
Action,Just Cause,6.0
Adventure,A Kid in King Arthur's Court,4.3
Action,Kiss of Death,5.7
Adventure,Star Wars,8.1
Drama,Little Women,7.0
Drama,A Little Princess,7.4
Drama,Ladybird Ladybird,7.4
Crime,L'Enfer,6.6
Drama,Like Water for Chocolate,6.6
Adventure,Legends of the Fall,7.2
Adventure,Major Payne,6.1
Action,Little Odessa,6.4
Crime,Mi Vida Loca,5.7
Drama,Love Affair,4.3
Drama,Losing Isaiah,6.4
Comedy,The Madness of King George,6.7
Drama,Mary Shelley's Frankenstein,6.1
Action,Man of the House,5.1
Comedy,Mixed Nuts,5.2
Comedy,Milk Money,5.6
Fantasy,Miracle on 34th Street,6.4
Comedy,Miami Rhapsody,5.6
Comedy,My Family,7.0
Crime,Murder in the First,6.9
Drama,Nobody's Fool,7.0
Drama,Nell,6.1
Crime,New Jersey Drive,6.9
Action,New York Cop,0.0
Horror,Beyond Bedlam,4.0
Science Fiction,Nemesis 2 - Nebula,4.6
Drama,Nina Takes a Lover,7.4
Crime,Natural Born Killers,6.9
Comedy,Only You,6.4
Drama,Once Were Warriors,7.6
Drama,Poison Ivy II: Lily,4.6
Action,Outbreak,6.4
Thriller,Leon: The Professional,8.2
Comedy,The Perez Family,6.6
Comedy,A Pyromaniac's Love Story,7.0
Thriller,Pulp Fiction,8.3
Drama,Panther,6.4
Comedy,Pushing Hands,6.1
Drama,Priest,6.4
History,Quiz Show,7.1
Drama,Picture Bride,7.4
Drama,Queen Margot,7.0
Action,The Quick and the Dead,6.2
Drama,Roommates,6.4
Drama,Prêt-à-Porter,5.3
Drama,Three Colors: Red,7.8
Drama,Three Colors: Blue,7.7
Comedy,Three Colors: White,7.3
Drama,"Red Firecracker, Green Firecracker",7.0
Comedy,Rent-a-Kid,5.1
Horror,Relative Fear,4.7
Comedy,Stuart Saves His Family,5.0
Animation,The Swan Princess,6.5
Drama,The Secret of Roan Inish,6.1
Action,The Specialist,5.5
Action,Stargate,6.8
Fantasy,The Santa Clause,6.3
Drama,The Shawshank Redemption,8.5
Crime,Shallow Grave,7.0
Drama,Suture,6.0
Comedy,Strawberry and Chocolate,7.1
Crime,Swimming with Sharks,6.7
Comedy,The Sum of Us,6.0
Comedy,Senior Trip,5.7
Drama,To Live,7.7
Action,Tank Girl,5.5
Horror,Tales from the Crypt: Demon Knight,6.7
Science Fiction,Star Trek: Generations,6.4
Crime,Tales from the Hood,5.4
Drama,Tom & Viv,5.8
Thriller,Village of the Damned,5.6
